lap_number,driver,position,lap_time,gap_ahead,tire_compound,tire_age,pit_stop,track_status
49,GAS,7,87.342,79.725,MEDIUM,16,False,Green
49,ALO,8,88.564,91.04,MEDIUM,13,False,Green
49,NOR,9,108.028,91.844,MEDIUM,1,True,Green
49,OCO,10,89.538,93.166,HARD,35,False,Green
49,RIC,11,89.261,94.002,HARD,31,False,Green
49,LEC,12,89.17,94.818,MEDIUM,19,False,Green
49,VET,13,88.345,105.389,HARD,26,False,Green
49,STR,14,88.709,109.763,HARD,28,False,Green
49,MSC,15,89.762,142.363,HARD,39,False,Green
49,LAT,16,89.349,143.679,HARD,21,False,Green
50,HAM,1,86.784,0.0,HARD,37,False,Green
50,VER,2,86.748,11.069,HARD,14,False,Green
50,PER,3,86.428,39.44,HARD,14,False,Green
50,SAI,4,87.639,66.446,HARD,31,False,Green
50,BOT,5,87.13,70.721,HARD,21,False,Green
50,TSU,6,87.496,77.51,HARD,27,False,Green
50,GAS,7,87.424,80.365,MEDIUM,17,False,Green
50,NOR,8,86.847,91.907,MEDIUM,2,False,Green
50,ALO,9,89.325,93.581,MEDIUM,14,False,Green
50,OCO,10,88.643,95.025,HARD,36,False,Green
50,RIC,11,88.801,96.019,HARD,32,False,Green
50,LEC,12,88.952,96.986,MEDIUM,20,False,Green
50,VET,13,88.332,106.937,HARD,27,False,Green
50,STR,14,89.008,111.987,HARD,29,False,Green
50,MSC,15,89.962,145.541,HARD,40,False,Green
50,LAT,16,89.752,146.647,HARD,22,False,Green
51,HAM,1,86.934,0.0,HARD,38,False,Green
51,VER,2,87.048,11.183,HARD,15,False,Green
51,PER,3,86.419,38.925,HARD,15,False,Green
51,SAI,4,87.618,67.13,HARD,32,False,Green
51,BOT,5,86.862,70.649,HARD,22,False,Green
51,TSU,6,87.535,78.111,HARD,28,False,Green
51,GAS,7,87.442,80.873,MEDIUM,18,False,Green
51,NOR,8,87.227,92.2,MEDIUM,3,False,Green
51,ALO,9,88.424,95.071,MEDIUM,15,False,Green
51,OCO,10,88.665,96.756,HARD,37,False,Green
51,RIC,11,88.742,97.827,HARD,33,False,Green
51,LEC,12,89.998,100.05,MEDIUM,21,False,Green
51,VET,13,88.353,108.356,HARD,28,False,Green
51,STR,14,88.594,113.647,HARD,30,False,Green
51,MSC,15,90.614,149.221,HARD,41,False,Yellow
52,HAM,1,86.833,0.0,HARD,39,False,Green
52,VER,2,87.559,11.909,HARD,16,False,Green
52,PER,3,86.529,38.621,HARD,16,False,Green
52,SAI,4,89.182,69.479,HARD,33,False,Yellow
52,BOT,5,88.154,71.97,HARD,23,False,Yellow
52,TSU,6,92.276,83.554,HARD,29,False,Yellow
52,GAS,7,95.375,89.415,MEDIUM,19,False,Yellow
52,NOR,8,94.458,99.825,MEDIUM,4,False,Yellow
52,ALO,9,102.295,110.533,MEDIUM,16,False,Yellow
52,OCO,10,102.136,112.059,HARD,38,False,Yellow
52,RIC,11,104.016,115.01,HARD,34,True,Yellow
52,LEC,12,102.248,115.465,MEDIUM,22,False,Yellow
52,VET,13,101.212,122.735,HARD,29,False,Yellow
52,STR,14,105.169,131.983,HARD,31,True,Yellow
52,MSC,15,116.602,178.99,HARD,42,True,Yellow
53,HAM,1,98.574,0.0,HARD,40,False,Yellow
53,VER,2,102.072,15.407,HARD,17,True,Yellow
53,PER,3,107.607,47.654,HARD,17,True,Yellow
53,SAI,4,116.967,87.872,HARD,34,False,Yellow
53,BOT,5,118.324,91.72,HARD,24,False,Safety
53,TSU,6,115.178,100.158,HARD,30,True,Safety
53,GAS,7,113.281,104.122,MEDIUM,20,False,Safety
53,NOR,8,143.485,144.736,MEDIUM,5,False,Safety
53,ALO,9,133.583,145.542,MEDIUM,17,False,Safety
53,OCO,10,133.376,146.861,HARD,39,False,Safety
53,LEC,11,130.799,147.69,MEDIUM,23,False,Safety
53,VET,12,125.983,150.144,HARD,30,False,Safety
53,RIC,13,136.464,152.9,SOFT,4,True,Safety
53,STR,14,132.355,165.764,SOFT,1,True,Safety
53,MSC,15,131.605,212.021,SOFT,4,True,Safety
54,HAM,1,142.911,0.0,HARD,41,False,Safety
54,VER,2,135.373,7.869,SOFT,4,True,Safety
54,PER,3,126.894,31.637,SOFT,4,True,Safety
54,SAI,4,118.467,63.428,HARD,35,False,Safety
54,BOT,5,115.892,64.701,HARD,25,False,Safety
54,GAS,6,110.389,71.6,MEDIUM,21,True,Safety
54,TSU,7,114.46,71.707,SOFT,4,True,Safety
54,STR,14,139.167,162.02,SOFT,2,False,Safety
